departure,return,departure_id,departure_name,return_id,return_name,distance (m),duration (sec.),avg_speed (km/h),departure_latitude,departure_longitude,return_latitude,return_longitude,Air temperature (degC)
3/23/2020 7:19,3/23/2020 7:33,22,Rautatientori / länsi,22,Rautatientori / länsi,2644,839,0.189082241,60.1706061,24.9397601,60.1706061,24.9397601,1.1
3/23/2020 7:20,3/23/2020 7:23,6,Hietalahdentori,6,Hietalahdentori,77,200,0.0231,60.1622251,24.9297099,60.1622251,24.9297099,1.1
3/23/2020 7:22,3/23/2020 7:31,22,Rautatientori / länsi,37,Töölönkatu,1355,542,0.15,60.1706061,24.9397601,60.1775598,24.9283272,1.1
3/23/2020 7:25,3/23/2020 7:54,12,Kanavaranta,1,Kaivopuisto,3777,1754,0.129201824,60.168384,24.9583814,60.15544479,24.95029289,1.1
3/23/2020 7:25,3/23/2020 7:30,18,Porthania,10,Kasarmitori,635,272,0.140073529,60.16986223,24.9481464,60.16501718,24.94947288,1.1
3/23/2020 7:26,3/23/2020 7:48,108,Radiokatu,108,Radiokatu,4798,1333,0.215963991,60.20499,24.918419,60.20499,24.918419,1.1
3/23/2020 7:26,3/23/2020 7:39,81,Stenbäckinkatu,63,Jätkäsaarenlaituri,3393,794,0.256397985,60.1883091,24.9123717,60.1619311,24.9214896,1.1
3/23/2020 7:26,3/23/2020 7:48,723,Säterinniitty,94,Laajalahden aukio,5010,1310,0.229465649,60.214666,24.800486,60.19793091,24.87622172,1.1
3/23/2020 7:28,3/23/2020 7:40,19,Rautatientori / itä,33,Kauppakorkeakoulu,1588,696,0.136896552,60.1708236,24.9425268,60.1711591,24.924961,1.1
3/23/2020 7:28,3/23/2020 7:38,67,Perämiehenkatu,59,Salmisaarenranta,2278,582,0.234845361,60.16008759,24.93406569,60.16478138,24.9009608,1.1
3/23/2020 7:30,3/23/2020 7:45,3,Kapteeninpuistikko,3,Kapteeninpuistikko,3377,929,0.21810549,60.1581892,24.9449274,60.1581892,24.9449274,1.1
3/23/2020 7:31,3/23/2020 7:59,121,Vilhonvuorenkatu,62,Länsisatamankatu,6565,1667,0.236292741,60.1864633,24.9678718,60.1589276,24.909692,1.1
3/23/2020 7:31,3/23/2020 7:39,41,Ympyrätalo,18,Porthania,1359,427,0.190960187,60.180863,24.9494,60.16986223,24.9481464,1.1
3/23/2020 7:32,3/24/2020 12:03,37,Töölönkatu,83,Meilahden sairaala,69,5012669,8.26E-07,60.1775598,24.9283272,60.1902195,24.9083351,1.1
3/23/2020 7:33,3/23/2020 7:47,137,Arabian kauppakeskus,45,Brahen kenttä,2305,839,0.164839094,60.2027912,24.9666128,60.1868618,24.9509168,1.1
3/23/2020 7:34,3/24/2020 13:43,751,Vallipolku,707,Majurinkulma,2553,787,0.194637865,60.227827,24.819614,60.210735,24.824954,1.1
3/23/2020 7:34,3/23/2020 7:45,23,Kiasma,59,Salmisaarenranta,0,623,0,60.1712579,24.9374279,60.16478138,24.9009608,1.1
